"Apiary Display Category";"Apiary Display Label";"DwC/AP Term Name";"DwC/AP Class";"ROI association";"UI Category";"Parse level";"Input rules";"Examples-- ROI primary label";"ROI annotation 1";"ROI annotation 2";"ROI annotation 3";
"Curatorial";"Other Barcode/Accession Numbers";"otherCatalogNumbers";"DwC Occurrence";"barcode, stamp, primary";"what";1;"Semicolon-delimited, multiple entry allowed";"MO 234567; UC";;;;
"Curatorial";"Primary Label Header";"primaryLabelHeader";"AP Occurrence";"primary";"what";1;"Verbatim, multiple entries allowed";"Plants of Texas; Herbarium of Southern Methodist University";;;;
"Curatorial";"Primary Label Footer";"primaryLabelFooter";"AP Occurrence";"primary";"what";1;"Verbatim, multiple entries allowed";"Plants of Texas; Herbarium of Southern Methodist University";;;;
"Curatorial";"Kind of Specimen";"basisOfRecord";"Dwc Record-level Terms";"N/A";"what";3;"Should enable set to auto-fill or repeat previous, controlled vocab: PreservedSpecimen, FossilSpecimen, LivingSpecimen, HumanObservation, MachineObservation";"preservedSpecimen";;;;
"Curatorial";"Related Preparations";"preparations";"DwC Occurrence";"N/A";"what";3;"Sould enable set to auto-fill or repeat previous, controlled vocab.";"carpological collection";;;;
"Curatorial";"Disposition";"disposition";"DwC Occurrence";"primary, annotation, or N/A";"what";3;"Sould enable set to auto-fill or repeat previous, controlled vocab.";"in collection";;;;
"Curatorial";"Associated Records";"associatedOccurrences";"DwC Occurrence";"primary, annotation";"what";3;;"Sheet 2 of 2. Sheet 1 barcode BRIT 32445.";;;;
;;;;;;;;;;;;
"Types";"Basionym (Type Name)";"originalNameUsage";"DwC Taxon";"primary, annotation";"what";3;;;"Physostegia bracteata Lundell";;;
"Types";"Protologue Publication";"namePublishedIn";"DwC Taxon";"primary, annotation";"what";3;;;;;;
"Types";"Type Designation";"typeDesignation";"AP Identification";"primary, annotation";"what";3;;;"Type [unspecified]";;;
"Types";"Type Status";"typeStatus";"DwC Identification";"N/A, auto-generated";"what";3;"Autogenerated from typeDesignation + originalNameUsage + namePublishedIn";;;;;
